representation,source_merge,source_merge_sha256,n_merge_rows,n_ite_rows,n_joined_rows,n_unmatched_merge,n_unmatched_ite,merge_id_column,modality_feature_counts,output
complete_case,C:\Users\olegk\Desktop\multimodal-hte-breast-cancer\data\processed\MERGE\08_composite.csv,518675c10454b07b1d756d2e421cf11891ceac576a12d24bd1ea07b4691f714c,526,1076,526,0,550,Unnamed: 0,"{'clinical': 144, 'rna': 50, 'cnv': 50, 'mutation': 50, 'methylation': 50, 'mirna': 50, 'protein': 50}",C:\Users\olegk\Desktop\multimodal-hte-breast-cancer\data\derived\cohorts\master_complete_case.csv
outer,C:\Users\olegk\Desktop\multimodal-hte-breast-cancer\data\processed\MERGE_continuous_outer\08_composite.csv,06accdea0f7fb926baa36988687c54cf72487dbcc58b2a08e634790c47d1f0e8,1076,1076,1076,0,0,Unnamed: 0,"{'clinical': 144, 'rna': 51, 'cnv': 51, 'mutation': 51, 'methylation': 51, 'mirna': 51, 'protein': 51}",C:\Users\olegk\Desktop\multimodal-hte-breast-cancer\data\derived\cohorts\master_outer.csv
