prefix_repetitions,mean_effect_days,median_effect_days,sd_effect_days,percentile_ci_low_days,percentile_ci_high_days,basic_ci_low_days,basic_ci_high_days,fraction_positive
50,33.595015007854535,32.156969589961385,21.31006445396025,-4.279904495967173,85.81606891947868,-39.913500577469286,50.18247283797657,0.94
100,35.271832921152935,33.29432194581251,21.76708480595806,-4.173790684046189,82.81934321407647,-36.91677487206707,50.076359026055584,0.96
200,36.170149186323926,33.34278805204404,22.686952182873295,-3.2217353415580408,81.81076666832054,-35.908198326311144,49.12430368356743,0.96
300,37.63688660399601,36.255811367131926,23.029414604861714,-4.173790684046189,91.00957428354695,-45.10700594153756,50.076359026055584,0.9566666666666667
