model,estimate_days,direct_ato_ipw_treated_mean_days,direct_ato_ipw_control_mean_days,direct_ato_ipw_effect_days,plugin_component_days,treated_residual_component_days,control_residual_component_days,total_residual_augmentation_days,aipw_minus_direct_ato_ipw_days,ato_denominator,mu0_min,mu0_max,mu1_min,mu1_max,fraction_mu0_outside_0_horizon,fraction_mu1_outside_0_horizon,difference_from_exact_ridge_days
arm_mean,25.974046077786582,680.2508717864388,653.7396796700472,26.511192116391612,6.041833506380065,11.253396708213355,8.678815863193158,19.932212571406513,-0.5371460386050302,113.17837397891522,643.1333196505572,673.0845930517216,645.7419137624069,695.1535208274242,0.0,0.0,-2.7991274192079096
arm_ridge_unbounded,28.77317349699449,680.2508717864388,653.7396796700472,26.511192116391612,15.729562291345745,4.45052286861403,8.593088337034718,13.043611205648748,2.2619813806028795,113.17837397891522,288.14455379513834,798.9345674563505,446.98534440595995,881.9860558229981,0.07513416815742398,0.18783542039355994,0.0
arm_ridge_bounded,29.890478297925746,680.2508717864388,653.7396796700472,26.511192116391612,13.9710403964752,9.827235793025679,6.092202108424857,15.919437901450534,3.379286181534134,113.17837397891522,288.14455379513834,730.0,446.98534440595995,730.0,0.0,0.0,1.1173048009312545
pooled_interaction_ridge_bounded,31.899105344900867,680.2508717864388,653.7396796700472,26.511192116391612,4.1628724247814555,17.98957529115164,9.746657628967776,27.736232920119413,5.387913228509255,113.17837397891522,410.35070330366545,730.0,459.7303664076711,730.0,0.0,0.0,3.125931847906376
arm_hist_gradient_boosting_bounded,27.91580208314234,680.2508717864388,653.7396796700472,26.511192116391612,2.367473160298609,37.3882256977128,-11.839896774869077,25.548328922843726,1.4046099667507264,113.17837397891522,248.54792810924027,730.0,269.39707015773195,730.0,0.0,0.0,-0.8573714138521531
