model,fold_effect_min,fold_effect_max,fold_effect_spread,fold_fraction_positive,loo_effect_min,loo_effect_max,loo_effect_spread,loo_fraction_positive
arm_mean,-187.63490428020464,139.56104347756207,327.1959477577667,0.6,-4.229815174637396,76.58974021597028,80.81955539060768,0.8
arm_ridge_unbounded,-205.35204317020916,155.70151022819417,361.0535533984033,0.6,-4.978276575561806,84.25029810718915,89.22857468275096,0.8
arm_ridge_bounded,-203.97061434851094,154.06585388396778,358.0364682324787,0.6,-3.128933263488264,85.30501741894834,88.4339506824366,0.8
pooled_interaction_ridge_bounded,-201.60041906846112,158.09830668881597,359.6987257572771,0.6,-1.6584607041675492,87.22796909012709,88.88642979429464,0.8
arm_hist_gradient_boosting_bounded,-183.4272166196262,149.23084439585978,332.65806101548594,0.6,-4.3430196986235465,77.99457254183335,82.3375922404569,0.8
