local_row_index,fold,normalized_contribution_days,influence,absolute_influence
539,1,7.934622497841298,4400.175936184577,4400.175936184577
320,1,6.036833082407255,3342.1023863676855,3342.1023863676855
262,5,5.531348555432848,3056.6477919928875,3056.6477919928875
237,3,-4.7463971564374265,-2688.2039998490973,2688.2039998490973
282,4,4.665475084494317,2583.023977402733,2583.023977402733
31,4,4.357103558720722,2410.374264365525,2410.374264365525
154,4,4.297824374162924,2366.961086240851,2366.961086240851
364,1,4.110774338105697,2262.7277494582468,2262.7277494582468
123,2,-3.9918258166643548,-2262.1381278248473,2262.1381278248473
222,5,3.9912893194412553,2195.6171682294007,2195.6171682294007
134,5,-3.582752041957758,-2035.6291391551088,2035.6291391551088
383,2,-3.5325300781262086,-2010.163086552569,2010.163086552569
37,2,3.5466713100491924,1956.076784623051,1956.076784623051
13,5,3.4586049607262437,1901.4098484331596,1901.4098484331596
264,1,3.416376491131222,1877.4844654644887,1877.4844654644887
152,2,3.3861894765069187,1877.0795981508534,1877.0795981508534
504,3,3.292733758527123,1810.8525400112733,1810.8525400112733
376,1,-3.0673437806896677,-1748.8997404458771,1748.8997404458771
41,5,-3.031225962229352,-1726.4324841929777,1726.4324841929777
213,1,3.133267649442468,1716.9331704171054,1716.9331704171054
510,2,-2.9467002139088683,-1681.853701977581,1681.853701977581
419,5,-2.8760542091750194,-1639.9322039654846,1639.9322039654846
382,2,-2.883098181912922,-1634.7040196783028,1634.7040196783028
499,2,-2.888579053784673,-1629.2750491561023,1629.2750491561023
50,4,2.9380457541115583,1609.6676418721192,1609.6676418721192
