model,arm,n,factual_mse,factual_mae,factual_bias_observed_minus_predicted,ato_weighted_bias_observed_minus_predicted,ato_weighted_mse,prediction_min,prediction_p01,prediction_median,prediction_p99,prediction_max,fraction_prediction_below_zero,fraction_prediction_above_horizon
arm_mean,all,559,106378.44497991003,258.1223878846687,-0.024848956423517584,-0.024848956423515034,106378.44497991004,643.1333196505572,643.1333196505572,668.6857043285106,695.1535208274242,695.1535208274242,0.0,0.0
arm_mean,0,365,96573.14086020895,253.27769919803282,-1.2458831531136003e-15,-8.59013987400656,107608.02137974049,643.1333196505572,643.1333196505572,668.6857043285106,673.0845930517216,673.0845930517216,0.0,0.0
arm_mean,1,194,124826.56871027547,267.2373949497311,-0.0716008589729075,11.066992085115036,115576.67100243215,645.7419137624069,645.7419137624069,667.4779079979926,695.1535208274242,695.1535208274242,0.0,0.0
arm_ridge_unbounded,all,559,109948.6669500919,253.47204775642277,-1.0438011084558154,-1.0438011084558134,109948.6669500919,288.14455379513834,535.9335984780316,666.8560980032642,791.0308216944157,881.9860558229981,0.0,0.10196779964221825
arm_ridge_unbounded,0,365,99743.00867647608,248.71292967087484,-0.7207303263036621,-8.505288270704703,111401.018026503,288.14455379513834,538.1956516223528,664.5209821434239,784.3282692396242,798.9345674563505,0.0,0.08767123287671233
arm_ridge_unbounded,1,194,129150.03432055467,262.4260585874793,-1.65164046662866,4.376803078987406,119518.76051621589,446.98534440595995,534.8445653962792,669.6340111217917,797.4687314775426,881.9860558229981,0.0,0.12886597938144329
arm_ridge_bounded,all,559,109463.34473914676,252.77148720518392,2.044486624413759,2.044486624413758,109463.34473914676,288.14455379513834,535.9335984780316,666.8560980032642,730.0,730.0,0.0,0.0
arm_ridge_bounded,0,365,99186.39880804483,247.73545254696123,1.9055362512036904,-6.029954901339806,110669.2282940035,288.14455379513834,538.1956516223528,664.5209821434239,730.0,730.0,0.0,0.0
arm_ridge_bounded,1,194,128798.83579508595,262.24650086627287,2.305913872979095,9.664454525147656,119092.97584626934,446.98534440595995,534.8445653962792,669.6340111217917,730.0,730.0,0.0,0.0
pooled_interaction_ridge_bounded,all,559,107898.52602260254,249.8968232160362,2.6727560235039967,2.672756023503996,107898.52602260254,410.35070330366545,542.5210283118834,662.7473280897462,730.0,730.0,0.0,0.0
pooled_interaction_ridge_bounded,0,365,97460.43284612383,244.44356908053214,-1.6321433113142445,-9.64707094339501,108357.49691798011,410.35070330366545,560.4412263174512,663.8113797356367,730.0,730.0,0.0,0.0
pooled_interaction_ridge_bounded,1,194,127537.2064835032,260.1568116668557,10.772180029734184,17.691590594726726,118256.19600439793,459.7303664076711,520.8261535072285,660.3950214005984,730.0,730.0,0.0,0.0
arm_hist_gradient_boosting_bounded,all,559,101702.1416992697,230.86222756868398,22.064357355946537,22.064357355946534,101702.1416992697,248.54792810924027,314.69929573005095,703.1414805352155,730.0,730.0,0.0,0.0
arm_hist_gradient_boosting_bounded,0,365,92097.50406621027,225.82271741279555,16.8397003911222,11.718922372954239,99287.67455325191,248.54792810924027,321.86657904076174,700.2124274306695,730.0,730.0,0.0,0.0
arm_hist_gradient_boosting_bounded,1,194,119772.72281301556,240.34378018156679,31.89425319182736,36.76891596393165,109536.78059860141,292.0599672439204,307.3026021348848,703.8036320101287,730.0,730.0,0.0,0.0
