check,observed,expected,pass
all_required_inputs,6.0,6.0,True
landmark_n,559.0,559.0,True
treated,194.0,194.0,True
controls,365.0,365.0,True
events,50.0,50.0,True
compact_features,13.0,13.0,True
exact_aipw_replication,28.77317349699449,28.773173,True
